enum_key,enum_title,item_value,item_label_en,item_label_fr
client_type,Client Type,owner,Owner,Propriétaire
client_type,Client Type,contributor,Contributor,Apporteur
client_type,Client Type,tenant,Tenant,Locataire
client_type,Client Type,notary,Notary,Notaire
client_type,Client Type,other,Other,Autre
property_nature,Property Nature,individual_house,Housing (individual house),Habitation (maison individuelle)
property_nature,Property Nature,individual_houses,Housing (individual houses),Habitation (maisons individuelles)
property_nature,Property Nature,private_part_building,Housing (private part of a building),Habitation (partie privative d'immeuble)
property_nature,Property Nature,common_parts,Housing (common parts),Habitation (parties communes)
file_type,File Type,apartment_rental,Apartment rental,Appartement location
property_occupation,Property Occupation,owner,The owner,Le propriétaire
property_occupation,Property Occupation,tenant,The tenant,Le locataire
property_occupation,Property Occupation,vacant,Not applicable; the property is vacant,Sans objet; le bien est vacant
property_occupation,Property Occupation,not_applicable,Not concerned,Non concerné
property_occupation,Property Occupation,co_owners_tenants,The co-owners and tenants,Les copropriétaires et locataires
country,Country,france,France,France
building_level_designation,Building Level Designation,ground_floor,Ground Floor,RDC
building_level_designation,Building Level Designation,first_floor,First Floor,1er étage
building_level_designation,Building Level Designation,second_floor,Second Floor,2ème étage
building_level_designation,Building Level Designation,third_floor,Third Floor,3ème étage
building_level_designation,Building Level Designation,basement,Basement,Sous-sol
building_level_designation,Building Level Designation,attic,Attic,Combles
room_designation,Room Designation,living_room,Living Room,Salon
room_designation,Room Designation,kitchen,Kitchen,Cuisine
room_designation,Room Designation,bedroom,Bedroom,Chambre
room_designation,Room Designation,bathroom,Bathroom,Salle de bain
room_designation,Room Designation,toilet,Toilet,Toilettes
room_designation,Room Designation,corridor,Corridor,Couloir
room_designation,Room Designation,entrance,Entrance,Entrée
room_designation,Room Designation,office,Office,Bureau
non_visit_justification,Non-Visit Justification,access_impossible,Access impossible,Accès impossible
non_visit_justification,Non-Visit Justification,room_locked,Room locked,Pièce fermée
non_visit_justification,Non-Visit Justification,occupant_refusal,Occupant refusal,Refus occupant
window_type,Window Type,raw_aluminum,Raw aluminum,Fenêtre(s) en aluminium brut
window_type,Window Type,painted_aluminum,Painted aluminum,Fenêtre(s) en aluminium peint
