enum_key,enum_title,item_value,item_label_en,item_label_fr
asbestos_material_class,Asbestos Material Class,liste_a,Liste A,Liste A
asbestos_material_class,Asbestos Material Class,liste_b,Liste B,Liste B
asbestos_material_class,Asbestos Material Class,liste_c,Liste C,Liste C
asbestos_material,Asbestos Material / Component,sprayed_asbestos_flocking,Sprayed Asbestos / Flocking,Flocages
asbestos_material,Asbestos Material / Component,thermal_insulation,Thermal Insulation,Calorifugeages
asbestos_material,Asbestos Material / Component,false_ceilings,False Ceilings,Faux plafonds
asbestos_material,Asbestos Material / Component,hard_walls_and_pillars,Hard Walls and Pillars,Murs et cloisons en dur
asbestos_material,Asbestos Material / Component,lightweight_partitions_ducts,Lightweight Partitions / Ducts,Cloisons légères / Gaines
asbestos_material,Asbestos Material / Component,ceilings_and_beams,Ceilings and Beams,Plafonds / Poutres
asbestos_material,Asbestos Material / Component,floors,Floors,Planchers
asbestos_material,Asbestos Material / Component,fluid_conduits,Fluid Conduits,Conduits de fluides
asbestos_material,Asbestos Material / Component,fire_dampers_shutters,Fire Dampers / Shutters,Clapets / Volets
asbestos_material,Asbestos Material / Component,fire_doors,Fire Doors,Portes coupe-feu
asbestos_material,Asbestos Material / Component,trash_chutes,Trash Chutes,Vide-ordures
asbestos_material,Asbestos Material / Component,roofing,Roofing,Toitures
asbestos_material,Asbestos Material / Component,siding_facades,Siding / Facades,Bardages / Façades
asbestos_material,Asbestos Material / Component,exterior_conduits,Exterior Conduits,Conduits extérieurs
asbestos_material,Asbestos Material / Component,roof_waterproofing,Roof Waterproofing,Étanchéité toiture
asbestos_material,Asbestos Material / Component,roof_accessories,Roof Accessories,Accessoires de toiture
asbestos_material,Asbestos Material / Component,facades_demolition,Facades (Demolition),Façades (Démolition)
asbestos_material,Asbestos Material / Component,expansion_joints,Expansion Joints,Joints de dilatation
asbestos_material,Asbestos Material / Component,floor_coverings,Floor Coverings,Revêtements de sol
asbestos_material,Asbestos Material / Component,wall_coverings,Wall Coverings,Revêtements de murs
asbestos_material,Asbestos Material / Component,elevators,Elevators,Ascenseurs
asbestos_material,Asbestos Material / Component,misc_equipment,Misc. Equipment,Equipements divers
asbestos_material,Asbestos Material / Component,industrial_plants,Industrial Plants,Installations industrielles
asbestos_material,Asbestos Material / Component,permanent_formwork,Permanent Formwork,Coffrages perdus
conservation_evaluation_material,Conservation Evaluation Material Category,flocage,Flocage,Flocage
conservation_evaluation_material,Conservation Evaluation Material Category,calorifugeage,Calorifugeage,Calorifugeage
conservation_evaluation_material,Conservation Evaluation Material Category,faux_plafond,False Ceiling,Faux plafond
conservation_evaluation_material,Conservation Evaluation Material Category,autres_materiaux,Other Materials,Autres matériaux
surface_condition_degradation,Surface Condition and Degradation,i,Poor condition / Bad state,Matériau en mauvais état
surface_condition_degradation,Surface Condition and Degradation,ib,Peeling or detaching,Matériau en décollement
surface_condition_degradation,Surface Condition and Degradation,ii,Local degradation(s),Matériau avec dégradation(s) locale(s)
surface_condition_degradation,Surface Condition and Degradation,iii,Good condition / Non-degraded,Matériau en bon état / non dégradé
surface_condition_degradation,Surface Condition and Degradation,iv,Core impregnation in good condition,Imprégnation à coeur en bon état
surface_condition_degradation,Surface Condition and Degradation,v,Surface coating in good condition,Enduit de surface en bon état
surface_condition_degradation,Surface Condition and Degradation,pe,Not accessible (sealed protection),Matériau non accessible (Protection étanche)
physical_protection,Physical Protection,p_non_etanche,Non-sealed protection,Protection non étanche
physical_protection,Physical Protection,np_non_protege,Unprotected,Non Protégé
air_circulation,Air Circulation,faible,Low,faible
air_circulation,Air Circulation,moyen,Medium,Moyen
air_circulation,Air Circulation,fort,High,Fort
shocks_vibrations,Shocks and Vibrations,faible,Low,faible
shocks_vibrations,Shocks and Vibrations,moyen,Medium,Moyen
shocks_vibrations,Shocks and Vibrations,fort,High,Fort
conclusion_methodology,Conclusion Methodology,operator_judgment,Operator judgment,Sur jugement de l'opérateur
conclusion_methodology,Conclusion Methodology,waiting_for_analysis,Waiting for analysis results,En attente des résultats d'analyse
conclusion_status,Conclusion Status,absence,Absence of asbestos,Absence d'amiante
conclusion_status,Conclusion Status,presence,Presence of asbestos,Présence d'amiante
conclusion_status,Conclusion Status,suspect,Suspect / Presumed,Susceptible
layers_to_analyze,Layers to Analyze,one_layer,One layer,1 couche
layers_to_analyze,Layers to Analyze,multicouche_melangees,Mixed multilayer,multicouche mélangées
layers_to_analyze,Layers to Analyze,multicouche_separees,Separated multilayer,multicouche séparées
layers_to_analyze,Layers to Analyze,nc,Not communicated,NC
sample_analysis_result,Sample Analysis Result,presence,Presence of asbestos,Présence d'amiante
sample_analysis_result,Sample Analysis Result,absence,Absence of asbestos,Absence d'amiante
sample_analysis_result,Sample Analysis Result,no_response,No response,Pas de réponse
sample_analysis_result,Sample Analysis Result,nc,Not communicated,NC
